cidade,uf,nome_completo
Coreaú,CE,Coreaú - CE
Coremas,PB,Coremas - PB
Corguinho,MS,Corguinho - MS
Coribe,BA,Coribe - BA
Corinto,MG,Corinto - MG
Cornélio Procópio,PR,Cornélio Procópio - PR
Coroaci,MG,Coroaci - MG
Coroados,SP,Coroados - SP
Coroatá,MA,Coroatá - MA
Coromandel,MG,Coromandel - MG
Coronel Barros,RS,Coronel Barros - RS
Coronel Bicaco,RS,Coronel Bicaco - RS
Coronel Domingos Soares,PR,Coronel Domingos Soares - PR
Coronel Ezequiel,RN,Coronel Ezequiel - RN
Coronel Fabriciano,MG,Coronel Fabriciano - MG
Coronel Freitas,SC,Coronel Freitas - SC
Coronel José Dias,PI,Coronel José Dias - PI
Coronel João Pessoa,RN,Coronel João Pessoa - RN
Coronel João Sá,BA,Coronel João Sá - BA
Coronel Macedo,SP,Coronel Macedo - SP
Coronel Martins,SC,Coronel Martins - SC
Coronel Murta,MG,Coronel Murta - MG
Coronel Pacheco,MG,Coronel Pacheco - MG
Coronel Pilar,RS,Coronel Pilar - RS
Coronel Sapucaia,MS,Coronel Sapucaia - MS
Coronel Vivida,PR,Coronel Vivida - PR
Coronel Xavier Chaves,MG,Coronel Xavier Chaves - MG
Correia Pinto,SC,Correia Pinto - SC
Corrente,PI,Corrente - PI
Correntes,PE,Correntes - PE
Correntina,BA,Correntina - BA
Cortês,PE,Cortês - PE
Corumbataí,SP,Corumbataí - SP
Corumbataí do Sul,PR,Corumbataí do Sul - PR
Corumbaíba,GO,Corumbaíba - GO
Corumbiara,RO,Corumbiara - RO
Corumbá,MS,Corumbá - MS
Corumbá de Goiás,GO,Corumbá de Goiás - GO
Corupá,SC,Corupá - SC
Coruripe,AL,Coruripe - AL
Cosmorama,SP,Cosmorama - SP
Cosmópolis,SP,Cosmópolis - SP
Costa Marques,RO,Costa Marques - RO
Costa Rica,MS,Costa Rica - MS
Cotegipe,BA,Cotegipe - BA
Cotia,SP,Cotia - SP
Cotiporã,RS,Cotiporã - RS
Cotriguaçu,MT,Cotriguaçu - MT
Couto de Magalhães de Minas,MG,Couto de Magalhães de Minas - MG
Couto Magalhães,TO,Couto Magalhães - TO
Coxilha,RS,Coxilha - RS
Coxim,MS,Coxim - MS
Coxixola,PB,Coxixola - PB
Crateús,CE,Crateús - CE
Crato,CE,Crato - CE
Cravinhos,SP,Cravinhos - SP
Cravolândia,BA,Cravolândia - BA
Craíbas,AL,Craíbas - AL
Criciúma,SC,Criciúma - SC
Crissiumal,RS,Crissiumal - RS
Cristais,MG,Cristais - MG
Cristais Paulista,SP,Cristais Paulista - SP
Cristal,RS,Cristal - RS
Cristal do Sul,RS,Cristal do Sul - RS
Cristalina,GO,Cristalina - GO
Cristalândia,TO,Cristalândia - TO
Cristalândia do Piauí,PI,Cristalândia do Piauí - PI
Cristiano Otoni,MG,Cristiano Otoni - MG
Cristianópolis,GO,Cristianópolis - GO
Cristina,MG,Cristina - MG
Cristino Castro,PI,Cristino Castro - PI
Cristinápolis,SE,Cristinápolis - SE
Cristália,MG,Cristália - MG
Cristópolis,BA,Cristópolis - BA
Crisólita,MG,Crisólita - MG
Crisópolis,BA,Crisópolis - BA
Crixás,GO,Crixás - GO
Crixás do Tocantins,TO,Crixás do Tocantins - TO
Croatá,CE,Croatá - CE
Cromínia,GO,Cromínia - GO
Crucilândia,MG,Crucilândia - MG
Cruz,CE,Cruz - CE
Cruz Alta,RS,Cruz Alta - RS
Cruz das Almas,BA,Cruz das Almas - BA
Cruz do Espírito Santo,PB,Cruz do Espírito Santo - PB
Cruz Machado,PR,Cruz Machado - PR
Cruzaltense,RS,Cruzaltense - RS
Cruzeiro,SP,Cruzeiro - SP
Cruzeiro da Fortaleza,MG,Cruzeiro da Fortaleza - MG
Cruzeiro do Iguaçu,PR,Cruzeiro do Iguaçu - PR
Cruzeiro do Oeste,PR,Cruzeiro do Oeste - PR
Cruzeiro do Sul,AC,Cruzeiro do Sul - AC
Cruzeiro do Sul,PR,Cruzeiro do Sul - PR
Cruzeiro do Sul,RS,Cruzeiro do Sul - RS
Cruzeta,RN,Cruzeta - RN
Cruzmaltina,PR,Cruzmaltina - PR
Cruzália,SP,Cruzália - SP
Cruzília,MG,Cruzília - MG
Cubati,PB,Cubati - PB
Cubatão,SP,Cubatão - SP
Cuiabá,MT,Cuiabá - MT
Cuitegi,PB,Cuitegi - PB
Cuité,PB,Cuité - PB
Cuité de Mamanguape,PB,Cuité de Mamanguape - PB
Cujubim,RO,Cujubim - RO
Cumari,GO,Cumari - GO
Cumaru,PE,Cumaru - PE
Cumaru do Norte,PA,Cumaru do Norte - PA
Cumbe,SE,Cumbe - SE
Cunha,SP,Cunha - SP
Cunha Porã,SC,Cunha Porã - SC
Cunhataí,SC,Cunhataí - SC
Cuparaque,MG,Cuparaque - MG
Cupira,PE,Cupira - PE
Curaçá,BA,Curaçá - BA
Curimatá,PI,Curimatá - PI
Curionópolis,PA,Curionópolis - PA
Curitiba,PR,Curitiba - PR
Curitibanos,SC,Curitibanos - SC
Curiúva,PR,Curiúva - PR
Currais,PI,Currais - PI
Currais Novos,RN,Currais Novos - RN
Curral de Cima,PB,Curral de Cima - PB
Curral de Dentro,MG,Curral de Dentro - MG
Curral Novo do Piauí,PI,Curral Novo do Piauí - PI
Curral Velho,PB,Curral Velho - PB
Curralinho,PA,Curralinho - PA
Curralinhos,PI,Curralinhos - PI
Cururupu,MA,Cururupu - MA
Curuá,PA,Curuá - PA
Curuçá,PA,Curuçá - PA
Curvelo,MG,Curvelo - MG
Curvelândia,MT,Curvelândia - MT
Custódia,PE,Custódia - PE
Cutias,AP,Cutias - AP
Cáceres,MT,Cáceres - MT
Cássia,MG,Cássia - MG
Cássia dos Coqueiros,SP,Cássia dos Coqueiros - SP
Cândido de Abreu,PR,Cândido de Abreu - PR
Cândido Godói,RS,Cândido Godói - RS
Cândido Mendes,MA,Cândido Mendes - MA
Cândido Mota,SP,Cândido Mota - SP
Cândido Rodrigues,SP,Cândido Rodrigues - SP
Cândido Sales,BA,Cândido Sales - BA
Céu Azul,PR,Céu Azul - PR
Cícero Dantas,BA,Cícero Dantas - BA
Córrego Danta,MG,Córrego Danta - MG
Córrego do Bom Jesus,MG,Córrego do Bom Jesus - MG
Córrego do Ouro,GO,Córrego do Ouro - GO
Córrego Fundo,MG,Córrego Fundo - MG
Córrego Novo,MG,Córrego Novo - MG
Cônego Marinho,MG,Cônego Marinho - MG
Damianópolis,GO,Damianópolis - GO
Damião,PB,Damião - PB
Damolândia,GO,Damolândia - GO
Darcinópolis,TO,Darcinópolis - TO
Datas,MG,Datas - MG
David Canabarro,RS,David Canabarro - RS
Davinópolis,GO,Davinópolis - GO
Davinópolis,MA,Davinópolis - MA
Delfim Moreira,MG,Delfim Moreira - MG
Delfinópolis,MG,Delfinópolis - MG
Delmiro Gouveia,AL,Delmiro Gouveia - AL
Delta,MG,Delta - MG
Demerval Lobão,PI,Demerval Lobão - PI
Denise,MT,Denise - MT
Deodápolis,MS,Deodápolis - MS
Deputado Irapuan Pinheiro,CE,Deputado Irapuan Pinheiro - CE
Derrubadas,RS,Derrubadas - RS
Descalvado,SP,Descalvado - SP
Descanso,SC,Descanso - SC
Descoberto,MG,Descoberto - MG
Desterro,PB,Desterro - PB
Desterro de Entre Rios,MG,Desterro de Entre Rios - MG
Desterro do Melo,MG,Desterro do Melo - MG
Dezesseis de Novembro,RS,Dezesseis de Novembro - RS
Diadema,SP,Diadema - SP
Diamante,PB,Diamante - PB
Diamante D'Oeste,PR,Diamante D'Oeste - PR
Diamante do Norte,PR,Diamante do Norte - PR
Diamante do Sul,PR,Diamante do Sul - PR
Diamantina,MG,Diamantina - MG
Diamantino,MT,Diamantino - MT
Dianópolis,TO,Dianópolis - TO
Dias d'Ávila,BA,Dias d'Ávila - BA
Dilermando de Aguiar,RS,Dilermando de Aguiar - RS
Diogo de Vasconcelos,MG,Diogo de Vasconcelos - MG
Dionísio,MG,Dionísio - MG
Dionísio Cerqueira,SC,Dionísio Cerqueira - SC
Diorama,GO,Diorama - GO
Dirce Reis,SP,Dirce Reis - SP
Dirceu Arcoverde,PI,Dirceu Arcoverde - PI
Divina Pastora,SE,Divina Pastora - SE
Divino,MG,Divino - MG
Divino das Laranjeiras,MG,Divino das Laranjeiras - MG
Divino de São Lourenço,ES,Divino de São Lourenço - ES
Divinolândia,SP,Divinolândia - SP
Divinolândia de Minas,MG,Divinolândia de Minas - MG
Divinésia,MG,Divinésia - MG
Divinópolis,MG,Divinópolis - MG
Divinópolis de Goiás,GO,Divinópolis de Goiás - GO
Divinópolis do Tocantins,TO,Divinópolis do Tocantins - TO
Divisa Alegre,MG,Divisa Alegre - MG
Divisa Nova,MG,Divisa Nova - MG
Divisópolis,MG,Divisópolis - MG
Dobrada,SP,Dobrada - SP
Dois Córregos,SP,Dois Córregos - SP
Dois Irmãos,RS,Dois Irmãos - RS
Dois Irmãos das Missões,RS,Dois Irmãos das Missões - RS
Dois Irmãos do Buriti,MS,Dois Irmãos do Buriti - MS
Dois Irmãos do Tocantins,TO,Dois Irmãos do Tocantins - TO
Dois Lajeados,RS,Dois Lajeados - RS
Dois Riachos,AL,Dois Riachos - AL
Dois Vizinhos,PR,Dois Vizinhos - PR
Dolcinópolis,SP,Dolcinópolis - SP
Dom Aquino,MT,Dom Aquino - MT
Dom Basílio,BA,Dom Basílio - BA
Dom Bosco,MG,Dom Bosco - MG
Dom Cavati,MG,Dom Cavati - MG
Dom Eliseu,PA,Dom Eliseu - PA
Dom Expedito Lopes,PI,Dom Expedito Lopes - PI
Dom Feliciano,RS,Dom Feliciano - RS
Dom Inocêncio,PI,Dom Inocêncio - PI
Dom Joaquim,MG,Dom Joaquim - MG
Dom Macedo Costa,BA,Dom Macedo Costa - BA
Dom Pedrito,RS,Dom Pedrito - RS
Dom Pedro,MA,Dom Pedro - MA
Dom Pedro de Alcântara,RS,Dom Pedro de Alcântara - RS
Dom Silvério,MG,Dom Silvério - MG
Dom Viçoso,MG,Dom Viçoso - MG
Domingos Martins,ES,Domingos Martins - ES
Domingos Mourão,PI,Domingos Mourão - PI
Dona Emma,SC,Dona Emma - SC
Dona Euzébia,MG,Dona Euzébia - MG
Dona Francisca,RS,Dona Francisca - RS
Dona Inês,PB,Dona Inês - PB
Dores de Campos,MG,Dores de Campos - MG
Dores de Guanhães,MG,Dores de Guanhães - MG
Dores do Indaiá,MG,Dores do Indaiá - MG
Dores do Rio Preto,ES,Dores do Rio Preto - ES
Dores do Turvo,MG,Dores do Turvo - MG
Doresópolis,MG,Doresópolis - MG
Dormentes,PE,Dormentes - PE
Douradina,MS,Douradina - MS
Douradina,PR,Douradina - PR
Dourado,SP,Dourado - SP
Douradoquara,MG,Douradoquara - MG
Dourados,MS,Dourados - MS
Doutor Camargo,PR,Doutor Camargo - PR
Doutor Maurício Cardoso,RS,Doutor Maurício Cardoso - RS
Doutor Pedrinho,SC,Doutor Pedrinho - SC
Doutor Ricardo,RS,Doutor Ricardo - RS
Doutor Severiano,RN,Doutor Severiano - RN
Doutor Ulysses,PR,Doutor Ulysses - PR
Doverlândia,GO,Doverlândia - GO
Dracena,SP,Dracena - SP
Duartina,SP,Duartina - SP
Duas Barras,RJ,Duas Barras - RJ
Duas Estradas,PB,Duas Estradas - PB
Dueré,TO,Dueré - TO
Dumont,SP,Dumont - SP
Duque Bacelar,MA,Duque Bacelar - MA
Duque de Caxias,RJ,Duque de Caxias - RJ
Durandé,MG,Durandé - MG
Dário Meira,BA,Dário Meira - BA
Echaporã,SP,Echaporã - SP
Ecoporanga,ES,Ecoporanga - ES
Edealina,GO,Edealina - GO
Edéia,GO,Edéia - GO
Eirunepé,AM,Eirunepé - AM
Eldorado,MS,Eldorado - MS
Eldorado,SP,Eldorado - SP
Eldorado do Carajás,PA,Eldorado do Carajás - PA
Eldorado do Sul,RS,Eldorado do Sul - RS
Elesbão Veloso,PI,Elesbão Veloso - PI
Elias Fausto,SP,Elias Fausto - SP
Eliseu Martins,PI,Eliseu Martins - PI
Elisiário,SP,Elisiário - SP
Elísio Medrado,BA,Elísio Medrado - BA
Elói Mendes,MG,Elói Mendes - MG
Emas,PB,Emas - PB
Embaúba,SP,Embaúba - SP
Embu das Artes,SP,Embu das Artes - SP
Embu-Guaçu,SP,Embu-Guaçu - SP
Emilianópolis,SP,Emilianópolis - SP
Encantado,RS,Encantado - RS
Encanto,RN,Encanto - RN
Encruzilhada,BA,Encruzilhada - BA
Encruzilhada do Sul,RS,Encruzilhada do Sul - RS
Engenheiro Beltrão,PR,Engenheiro Beltrão - PR
Engenheiro Caldas,MG,Engenheiro Caldas - MG
Engenheiro Coelho,SP,Engenheiro Coelho - SP
Engenheiro Navarro,MG,Engenheiro Navarro - MG
Engenheiro Paulo de Frontin,RJ,Engenheiro Paulo de Frontin - RJ
Engenho Velho,RS,Engenho Velho - RS
Entre Folhas,MG,Entre Folhas - MG
Entre Rios,BA,Entre Rios - BA
Entre Rios,SC,Entre Rios - SC
Entre Rios de Minas,MG,Entre Rios de Minas - MG
Entre Rios do Oeste,PR,Entre Rios do Oeste - PR
Entre Rios do Sul,RS,Entre Rios do Sul - RS
Entre-Ijuís,RS,Entre-Ijuís - RS
Envira,AM,Envira - AM
Enéas Marques,PR,Enéas Marques - PR
Epitaciolândia,AC,Epitaciolândia - AC
Equador,RN,Equador - RN
Erebango,RS,Erebango - RS
Erechim,RS,Erechim - RS
Ereré,CE,Ereré - CE
Ermo,SC,Ermo - SC
Ernestina,RS,Ernestina - RS
Erval Grande,RS,Erval Grande - RS
Erval Seco,RS,Erval Seco - RS
Erval Velho,SC,Erval Velho - SC
Ervália,MG,Ervália - MG
Escada,PE,Escada - PE
Esmeralda,RS,Esmeralda - RS
Esmeraldas,MG,Esmeraldas - MG
Espera Feliz,MG,Espera Feliz - MG
Esperantina,PI,Esperantina - PI
Esperantina,TO,Esperantina - TO
Esperantinópolis,MA,Esperantinópolis - MA
Esperança,PB,Esperança - PB
Esperança do Sul,RS,Esperança do Sul - RS
Esperança Nova,PR,Esperança Nova - PR
Espigão Alto do Iguaçu,PR,Espigão Alto do Iguaçu - PR
Espigão D'Oeste,RO,Espigão D'Oeste - RO
Espinosa,MG,Espinosa - MG
Esplanada,BA,Esplanada - BA
Espumoso,RS,Espumoso - RS
Espírito Santo,RN,Espírito Santo - RN
Espírito Santo do Dourado,MG,Espírito Santo do Dourado - MG
Espírito Santo do Pinhal,SP,Espírito Santo do Pinhal - SP
Espírito Santo do Turvo,SP,Espírito Santo do Turvo - SP
Estação,RS,Estação - RS
Esteio,RS,Esteio - RS
Estiva,MG,Estiva - MG
Estiva Gerbi,SP,Estiva Gerbi - SP
Estreito,MA,Estreito - MA
Estrela,RS,Estrela - RS
Estrela d'Oeste,SP,Estrela d'Oeste - SP
Estrela Dalva,MG,Estrela Dalva - MG
Estrela de Alagoas,AL,Estrela de Alagoas - AL
Estrela do Indaiá,MG,Estrela do Indaiá - MG
Estrela do Norte,GO,Estrela do Norte - GO
Estrela do Norte,SP,Estrela do Norte - SP
Estrela do Sul,MG,Estrela do Sul - MG
Estrela Velha,RS,Estrela Velha - RS
Estância,SE,Estância - SE
Estância Velha,RS,Estância Velha - RS
Euclides da Cunha,BA,Euclides da Cunha - BA
Euclides da Cunha Paulista,SP,Euclides da Cunha Paulista - SP
Eugenópolis,MG,Eugenópolis - MG
Eugênio de Castro,RS,Eugênio de Castro - RS
Eunápolis,BA,Eunápolis - BA
Eusébio,CE,Eusébio - CE
Ewbank da Câmara,MG,Ewbank da Câmara - MG
Extrema,MG,Extrema - MG
Extremoz,RN,Extremoz - RN
Exu,PE,Exu - PE
Fagundes,PB,Fagundes - PB
Fagundes Varela,RS,Fagundes Varela - RS
Faina,GO,Faina - GO
Fama,MG,Fama - MG
Faria Lemos,MG,Faria Lemos - MG
Farias Brito,CE,Farias Brito - CE
Faro,PA,Faro - PA
Farol,PR,Farol - PR
Farroupilha,RS,Farroupilha - RS
Fartura,SP,Fartura - SP
Fartura do Piauí,PI,Fartura do Piauí - PI
Faxinal,PR,Faxinal - PR
Faxinal do Soturno,RS,Faxinal do Soturno - RS
Faxinal dos Guedes,SC,Faxinal dos Guedes - SC
Faxinalzinho,RS,Faxinalzinho - RS
Fazenda Nova,GO,Fazenda Nova - GO
Fazenda Rio Grande,PR,Fazenda Rio Grande - PR
Fazenda Vilanova,RS,Fazenda Vilanova - RS
Feijó,AC,Feijó - AC
Feira da Mata,BA,Feira da Mata - BA
Feira de Santana,BA,Feira de Santana - BA
Feira Grande,AL,Feira Grande - AL
Feira Nova,PE,Feira Nova - PE
Feira Nova,SE,Feira Nova - SE
Feira Nova do Maranhão,MA,Feira Nova do Maranhão - MA
Felipe Guerra,RN,Felipe Guerra - RN
Felisburgo,MG,Felisburgo - MG
Felixlândia,MG,Felixlândia - MG
Feliz,RS,Feliz - RS
Feliz Deserto,AL,Feliz Deserto - AL
Feliz Natal,MT,Feliz Natal - MT
Felício dos Santos,MG,Felício dos Santos - MG
Fernandes Pinheiro,PR,Fernandes Pinheiro - PR
Fernandes Tourinho,MG,Fernandes Tourinho - MG
Fernando de Noronha,PE,Fernando de Noronha - PE
Fernando Falcão,MA,Fernando Falcão - MA
Fernando Pedroza,RN,Fernando Pedroza - RN
Fernando Prestes,SP,Fernando Prestes - SP
Fernandópolis,SP,Fernandópolis - SP
Fernão,SP,Fernão - SP
Ferraz de Vasconcelos,SP,Ferraz de Vasconcelos - SP
Ferreira Gomes,AP,Ferreira Gomes - AP
Ferreiros,PE,Ferreiros - PE
Ferros,MG,Ferros - MG
Fervedouro,MG,Fervedouro - MG
Figueira,PR,Figueira - PR
Figueirão,MS,Figueirão - MS
Figueirópolis,TO,Figueirópolis - TO
Figueirópolis D'Oeste,MT,Figueirópolis D'Oeste - MT
Filadélfia,BA,Filadélfia - BA
Filadélfia,TO,Filadélfia - TO
Firmino Alves,BA,Firmino Alves - BA
Firminópolis,GO,Firminópolis - GO
Flexeiras,AL,Flexeiras - AL
Flor da Serra do Sul,PR,Flor da Serra do Sul - PR
Flor do Sertão,SC,Flor do Sertão - SC
Flora Rica,SP,Flora Rica - SP
Floraí,PR,Floraí - PR
Floreal,SP,Floreal - SP
Flores,PE,Flores - PE
Flores da Cunha,RS,Flores da Cunha - RS
Flores de Goiás,GO,Flores de Goiás - GO
Flores do Piauí,PI,Flores do Piauí - PI
Floresta,PE,Floresta - PE
Floresta,PR,Floresta - PR
Floresta Azul,BA,Floresta Azul - BA
Floresta do Araguaia,PA,Floresta do Araguaia - PA
Floresta do Piauí,PI,Floresta do Piauí - PI
Florestal,MG,Florestal - MG
Florestópolis,PR,Florestópolis - PR
Floriano,PI,Floriano - PI
Floriano Peixoto,RS,Floriano Peixoto - RS
Florianópolis,SC,Florianópolis - SC
Florânia,RN,Florânia - RN
Florínea,SP,Florínea - SP
Flórida,PR,Flórida - PR
Flórida Paulista,SP,Flórida Paulista - SP
Fonte Boa,AM,Fonte Boa - AM
Fontoura Xavier,RS,Fontoura Xavier - RS
Formiga,MG,Formiga - MG
Formigueiro,RS,Formigueiro - RS
Formosa,GO,Formosa - GO
Formosa da Serra Negra,MA,Formosa da Serra Negra - MA
Formosa do Oeste,PR,Formosa do Oeste - PR
Formosa do Rio Preto,BA,Formosa do Rio Preto - BA
Formosa do Sul,SC,Formosa do Sul - SC
Formoso,GO,Formoso - GO
Formoso,MG,Formoso - MG
Formoso do Araguaia,TO,Formoso do Araguaia - TO
Forquetinha,RS,Forquetinha - RS
Forquilha,CE,Forquilha - CE
Forquilhinha,SC,Forquilhinha - SC
Fortaleza,CE,Fortaleza - CE
Fortaleza de Minas,MG,Fortaleza de Minas - MG
Fortaleza dos Nogueiras,MA,Fortaleza dos Nogueiras - MA
Fortaleza dos Valos,RS,Fortaleza dos Valos - RS
Fortim,CE,Fortim - CE
Fortuna,MA,Fortuna - MA
Fortuna de Minas,MG,Fortuna de Minas - MG
Foz do Iguaçu,PR,Foz do Iguaçu - PR
Foz do Jordão,PR,Foz do Jordão - PR
Fraiburgo,SC,Fraiburgo - SC
Franca,SP,Franca - SP
Francinópolis,PI,Francinópolis - PI
Francisco Alves,PR,Francisco Alves - PR
Francisco Ayres,PI,Francisco Ayres - PI
Francisco Badaró,MG,Francisco Badaró - MG
Francisco Beltrão,PR,Francisco Beltrão - PR
Francisco Dantas,RN,Francisco Dantas - RN
Francisco Dumont,MG,Francisco Dumont - MG
Francisco Macedo,PI,Francisco Macedo - PI
Francisco Morato,SP,Francisco Morato - SP
Francisco Santos,PI,Francisco Santos - PI
Francisco Sá,MG,Francisco Sá - MG
Franciscópolis,MG,Franciscópolis - MG
Franco da Rocha,SP,Franco da Rocha - SP
Frecheirinha,CE,Frecheirinha - CE
Frederico Westphalen,RS,Frederico Westphalen - RS
Frei Gaspar,MG,Frei Gaspar - MG
Frei Inocêncio,MG,Frei Inocêncio - MG
Frei Lagonegro,MG,Frei Lagonegro - MG
Frei Martinho,PB,Frei Martinho - PB
Frei Miguelinho,PE,Frei Miguelinho - PE
Frei Paulo,SE,Frei Paulo - SE
Frei Rogério,SC,Frei Rogério - SC
Fronteira,MG,Fronteira - MG
Fronteira dos Vales,MG,Fronteira dos Vales - MG
Fronteiras,PI,Fronteiras - PI
Fruta de Leite,MG,Fruta de Leite - MG
Frutal,MG,Frutal - MG
Frutuoso Gomes,RN,Frutuoso Gomes - RN
Fundão,ES,Fundão - ES
Funilândia,MG,Funilândia - MG
Fátima,BA,Fátima - BA
Fátima,TO,Fátima - TO
Fátima do Sul,MS,Fátima do Sul - MS
Fênix,PR,Fênix - PR
Gabriel Monteiro,SP,Gabriel Monteiro - SP
Gado Bravo,PB,Gado Bravo - PB
Galiléia,MG,Galiléia - MG
Galinhos,RN,Galinhos - RN
Galvão,SC,Galvão - SC
Gameleira,PE,Gameleira - PE
Gameleira de Goiás,GO,Gameleira de Goiás - GO
Gameleiras,MG,Gameleiras - MG
Gandu,BA,Gandu - BA
Garanhuns,PE,Garanhuns - PE
Gararu,SE,Gararu - SE
Garibaldi,RS,Garibaldi - RS
Garopaba,SC,Garopaba - SC
Garrafão do Norte,PA,Garrafão do Norte - PA
Garruchos,RS,Garruchos - RS
Garuva,SC,Garuva - SC
Garça,SP,Garça - SP
Gaspar,SC,Gaspar - SC
Gastão Vidigal,SP,Gastão Vidigal - SP
Gaurama,RS,Gaurama - RS
Gavião,BA,Gavião - BA
Gavião Peixoto,SP,Gavião Peixoto - SP
Gaúcha do Norte,MT,Gaúcha do Norte - MT
Geminiano,PI,Geminiano - PI
General Carneiro,MT,General Carneiro - MT
General Carneiro,PR,General Carneiro - PR
General Câmara,RS,General Câmara - RS
General Maynard,SE,General Maynard - SE
General Salgado,SP,General Salgado - SP
General Sampaio,CE,General Sampaio - CE
Gentil,RS,Gentil - RS
Gentio do Ouro,BA,Gentio do Ouro - BA
Getulina,SP,Getulina - SP
Getúlio Vargas,RS,Getúlio Vargas - RS
Gilbués,PI,Gilbués - PI
Girau do Ponciano,AL,Girau do Ponciano - AL
Giruá,RS,Giruá - RS
Glaucilândia,MG,Glaucilândia - MG
Glicério,SP,Glicério - SP
Glorinha,RS,Glorinha - RS
Glória,BA,Glória - BA
Glória D'Oeste,MT,Glória D'Oeste - MT
Glória de Dourados,MS,Glória de Dourados - MS
Glória do Goitá,PE,Glória do Goitá - PE
Godofredo Viana,MA,Godofredo Viana - MA
Godoy Moreira,PR,Godoy Moreira - PR
Goiabeira,MG,Goiabeira - MG
Goiana,PE,Goiana - PE
Goiandira,GO,Goiandira - GO
Goianinha,RN,Goianinha - RN
Goianira,GO,Goianira - GO
Goianorte,TO,Goianorte - TO
Goianá,MG,Goianá - MG
Goianápolis,GO,Goianápolis - GO
Goianésia,GO,Goianésia - GO
Goianésia do Pará,PA,Goianésia do Pará - PA
Goiatins,TO,Goiatins - TO
Goiatuba,GO,Goiatuba - GO
Goioerê,PR,Goioerê - PR
Goioxim,PR,Goioxim - PR
Goiás,GO,Goiás - GO
Goiânia,GO,Goiânia - GO
Gongogi,BA,Gongogi - BA
Gonzaga,MG,Gonzaga - MG
Gonçalves,MG,Gonçalves - MG
Gonçalves Dias,MA,Gonçalves Dias - MA
Gouveia,MG,Gouveia - MG
Gouvelândia,GO,Gouvelândia - GO
Governador Archer,MA,Governador Archer - MA
Governador Celso Ramos,SC,Governador Celso Ramos - SC
Governador Dix-Sept Rosado,RN,Governador Dix-Sept Rosado - RN
Governador Edison Lobão,MA,Governador Edison Lobão - MA
Governador Eugênio Barros,MA,Governador Eugênio Barros - MA
Governador Jorge Teixeira,RO,Governador Jorge Teixeira - RO
Governador Lindenberg,ES,Governador Lindenberg - ES
Governador Luiz Rocha,MA,Governador Luiz Rocha - MA
Governador Mangabeira,BA,Governador Mangabeira - BA
Governador Newton Bello,MA,Governador Newton Bello - MA
Governador Nunes Freire,MA,Governador Nunes Freire - MA
Governador Valadares,MG,Governador Valadares - MG
Graccho Cardoso,SE,Graccho Cardoso - SE
Grajaú,MA,Grajaú - MA
Gramado,RS,Gramado - RS
Gramado dos Loureiros,RS,Gramado dos Loureiros - RS
Gramado Xavier,RS,Gramado Xavier - RS
Grandes Rios,PR,Grandes Rios - PR
Granito,PE,Granito - PE
Granja,CE,Granja - CE
Granjeiro,CE,Granjeiro - CE
Gravatal,SC,Gravatal - SC
Gravataí,RS,Gravataí - RS
Gravatá,PE,Gravatá - PE
Graça,CE,Graça - CE
Graça Aranha,MA,Graça Aranha - MA
Groaíras,CE,Groaíras - CE
Grossos,RN,Grossos - RN
Grupiara,MG,Grupiara - MG
Grão Mogol,MG,Grão Mogol - MG
Grão-Pará,SC,Grão-Pará - SC
Guabiju,RS,Guabiju - RS
Guabiruba,SC,Guabiruba - SC
Guadalupe,PI,Guadalupe - PI
Guaimbê,SP,Guaimbê - SP
Guairaçá,PR,Guairaçá - PR
Guaiçara,SP,Guaiçara - SP
Guaiúba,CE,Guaiúba - CE
Guajará,AM,Guajará - AM
Guajará-Mirim,RO,Guajará-Mirim - RO
Guajeru,BA,Guajeru - BA
Guamaré,RN,Guamaré - RN
Guamiranga,PR,Guamiranga - PR
Guanambi,BA,Guanambi - BA
Guanhães,MG,Guanhães - MG
Guapiara,SP,Guapiara - SP
Guapiaçu,SP,Guapiaçu - SP
Guapimirim,RJ,Guapimirim - RJ
Guapirama,PR,Guapirama - PR
Guaporema,PR,Guaporema - PR
Guaporé,RS,Guaporé - RS
Guapé,MG,Guapé - MG
Guapó,GO,Guapó - GO
Guarabira,PB,Guarabira - PB
Guaraci,PR,Guaraci - PR
Guaraci,SP,Guaraci - SP
Guaraciaba,MG,Guaraciaba - MG
Guaraciaba,SC,Guaraciaba - SC
Guaraciaba do Norte,CE,Guaraciaba do Norte - CE
Guaraciama,MG,Guaraciama - MG
Guaramiranga,CE,Guaramiranga - CE
Guaramirim,SC,Guaramirim - SC
Guarani,MG,Guarani - MG
Guarani d'Oeste,SP,Guarani d'Oeste - SP
Guarani das Missões,RS,Guarani das Missões - RS
Guarani de Goiás,GO,Guarani de Goiás - GO
Guaraniaçu,PR,Guaraniaçu - PR
Guarantã,SP,Guarantã - SP
Guarantã do Norte,MT,Guarantã do Norte - MT
Guaranésia,MG,Guaranésia - MG
Guarapari,ES,Guarapari - ES
Guarapuava,PR,Guarapuava - PR
Guaraqueçaba,PR,Guaraqueçaba - PR
Guararapes,SP,Guararapes - SP
Guararema,SP,Guararema - SP
Guarará,MG,Guarará - MG
Guaratinga,BA,Guaratinga - BA
Guaratinguetá,SP,Guaratinguetá - SP
Guaratuba,PR,Guaratuba - PR
Guaraçaí,SP,Guaraçaí - SP
Guaraí,TO,Guaraí - TO
