tipo_servico,equipamento,n,soma,soma_quad,media,desvio
elétrica,GERADOR CATERPILLAR,2,5.466667,17.587222,2.7333,1.6263
elétrica,GIGANTE TRACTOR,222,1165.85,8031.525833,5.2516,2.939
elétrica,HELICOPTERO BELL 407,3,7.583333,23.5625,2.5278,1.4821
elétrica,HELICOPTERO RAVEN 44,1,0.916667,0.840278,0.9167,0.0
elétrica,MOTOR ESTACIONARIO MOTOBOMBA,5,25.75,144.645833,5.15,1.7345
elétrica,NOVA AGNES,6,39.083333,286.8125,6.5139,2.5388
elétrica,OROCH,4,4.416667,5.979167,1.1042,0.6062
elétrica,PA CARREGADEIRA 920K,1,5.083333,25.840278,5.0833,0.0
elétrica,PLANTADEIRA ANTARES,14,94.066667,824.437778,6.719,3.8471
elétrica,PLANTADEIRA ANTARES 4 LINHAS,5,42.0,359.5,8.4,1.2942
elétrica,PLANTADEIRA ANTARES SEMI AUTOMTICA 4 LINHAS,4,27.15,236.1225,6.7875,4.157
elétrica,PLANTADEORA SOJA JD 1111 C/ MARCADOR DE LIN,1,2.5,6.25,2.5,0.0
elétrica,PULVERIZADOR NOVO PLA,8,46.5,380.083333,5.8125,3.9606
elétrica,PULVERIZADOR ORION 250,14,79.916667,558.326389,5.7083,2.803
elétrica,STRADA,1,1.333333,1.777778,1.3333,0.0
elétrica,TRANSBORDO GIGANTE,4,6.75,14.354167,1.6875,0.9939
elétrica,TRATOR MASSEY 275,8,37.5,238.666667,4.6875,2.9973
elétrica,TRATOR NEW HOLLAND T7.245,137,648.016667,4137.690833,4.73,2.8083
